"codigo","nome","sexo","pais_origem","data_nascimento","raca_id","numerorgpai","numerorgmae"
"FSC04517","Touro04517","M","","2018-03-29","Raça 01","",""
"FSC04520","Touro04520","M","CA","2018-01-22","Raça 01","",""
"FSC04527","Touro04527","M","","2018-05-26","Raça 01","",""
"FSC04531","Touro04531","M","","2018-07-30","Raça 01","",""
"FSC04617","Vaca04617","F","BR","2018-01-24","Raça 01","",""
"FSC04634","Touro04634","M","","2018-05-24","Raça 01","",""
"FSC04672","Touro04672","M","","2018-03-09","Raça 01","",""
"FSC04674","Touro04674","M","","2018-08-29","Raça 01","",""
"FSC04708","Touro04708","M","","2019-01-14","Raça 01","",""
"FSC04735","Touro04735","M","","2018-03-06","Raça 01","",""
"FSC04737","Touro04737","M","","2018-10-19","Raça 01","",""
"FSC04738","Touro04738","M","CA","2018-10-26","Raça 01","",""
"FSC04740","Touro04740","M","","2018-03-02","Raça 01","",""
"FSC04741","Touro04741","M","","2018-07-02","Raça 01","",""
"FSC04745","Touro04745","M","","2018-04-14","Raça 01","",""
"FSC04754","Touro04754","M","","2018-01-19","Raça 01","",""
"FSC04755","Touro04755","M","","2018-10-04","Raça 01","",""
"FSC04764","Touro04764","M","","2018-03-20","Raça 01","",""
"FSC04765","Touro04765","M","","2018-02-20","Raça 01","",""
"FSC04787","Touro04787","M","","2018-05-27","Raça 01","",""
"FSC04788","Touro04788","M","","2018-11-06","Raça 01","",""
"FSC04794","Touro04794","M","","2018-11-08","Raça 01","",""
"FSC04795","Touro04795","M","","2018-07-17","Raça 01","",""
"FSC04805","Touro04805","M","","2018-04-17","Raça 01","",""
"FSC04843","Touro04843","M","","2018-03-18","Raça 01","",""
"FSC04844","Touro04844","M","CA","2018-05-04","Raça 01","",""
"FSC04881","Touro04881","M","","2018-06-14","Raça 01","",""
"FSC04882","Touro04882","M","","2018-03-15","Raça 01","",""
"FSC04921","Touro04921","M","","2018-12-07","Raça 01","",""
"FSC04933","Touro04933","M","","2018-04-25","Raça 01","",""
"FSC04934","Touro04934","M","","2018-08-02","Raça 01","",""
"FSC04936","Touro04936","M","","2018-02-23","Raça 01","",""
"FSC04937","Touro04937","M","","2018-08-03","Raça 01","",""
"FSC04938","Touro04938","M","","2018-03-09","Raça 01","",""
"FSC04950","Touro04950","M","","2018-05-07","Raça 01","",""
"FSC04962","Touro04962","M","","2018-05-18","Raça 01","",""
"FSC04968","Touro04968","M","","2018-01-18","Raça 01","",""
"FSC04970","Touro04970","M","","2018-03-16","Raça 01","",""
"FSC04972","Touro04972","M","","2018-05-17","Raça 01","",""
"FSC04977","Touro04977","M","","2018-06-13","Raça 01","",""
"FSC04978","Touro04978","M","","2018-06-18","Raça 01","",""
"FSC04980","Touro04980","M","","2018-03-04","Raça 01","",""
"FSC04983","Touro04983","M","","2018-03-25","Raça 01","",""
"FSC04996","Touro04996","M","","2018-04-08","Raça 01","",""
"FSC05017","Touro05017","M","","2018-05-21","Raça 01","",""
"FSC05019","Touro05019","M","","2018-10-27","Raça 01","",""
"FSC05022","Vaca05022","F","BR","2018-05-20","Raça 01","",""
"FSC05023","Touro05023","M","","2018-11-18","Raça 01","",""
"FSC05031","Touro05031","M","","2018-12-08","Raça 01","",""
"FSC05032","Touro05032","M","","2018-10-12","Raça 01","",""
"FSC05037","Touro05037","M","","2018-08-03","Raça 01","",""
"FSC05051","Touro05051","M","","2018-02-16","Raça 01","",""
"FSC05052","Touro05052","M","","2018-07-20","Raça 01","",""
"FSC05064","Touro05064","M","","2018-12-05","Raça 01","",""
"FSC05071","Touro05071","M","","2018-03-27","Raça 01","",""
"FSC05072","Touro05072","M","","2018-06-28","Raça 01","",""
"FSC05077","Touro05077","M","","2019-01-01","Raça 01","",""
"FSC05098","Touro05098","M","CA","2018-07-06","Raça 01","",""
"FSC05099","Touro05099","M","CA","2018-04-01","Raça 01","",""
"FSC05146","Touro05146","M","","2019-01-21","Raça 01","",""
"FSC05147","Touro05147","M","","2018-09-24","Raça 01","",""
"FSC05149","Touro05149","M","","2018-12-21","Raça 01","",""
"FSC05221","Touro05221","M","","2018-12-20","Raça 01","",""
"FSC05222","Touro05222","M","","2018-11-25","Raça 01","",""
"FSC05223","Touro05223","M","","2018-11-18","Raça 01","",""
"FSC05225","Touro05225","M","","2019-04-02","Raça 01","",""
"FSC05244","Touro05244","M","","2018-12-28","Raça 01","",""
"FSC05245","Touro05245","M","","2018-11-21","Raça 01","",""
"FSC05246","Touro05246","M","","2018-11-16","Raça 01","",""
"FSC05247","Touro05247","M","","2018-02-11","Raça 01","",""
"FSC05286","Touro05286","M","","2018-10-14","Raça 01","",""
"FSC05349","Touro05349","M","","2019-02-17","Raça 01","",""
"FSC05356","Touro05356","M","","2018-01-11","Raça 01","",""
"FSC05393","Touro05393","M","CA","2018-04-04","Raça 01","",""
"FSC05394","Touro05394","M","","2018-09-27","Raça 01","",""
"FSC05410","Touro05410","M","","2018-04-29","Raça 01","",""
"FSC05441","Touro05441","M","","2018-08-30","Raça 01","",""
"FSC05447","Touro05447","M","","2019-04-01","Raça 01","",""
"FSC05449","Touro05449","M","CA","2018-04-10","Raça 01","",""
"FSC05477","Touro05477","M","","2018-12-22","Raça 01","",""
"FSC05479","Touro05479","M","","2018-11-23","Raça 01","",""
"FSC05492","Touro05492","M","","2019-11-01","Raça 01","",""
"FSC05512","Touro05512","M","CA","2019-01-21","Raça 01","",""
"FSC05513","Touro05513","M","","2018-07-26","Raça 01","",""
"FSC05515","Touro05515","M","","2018-02-11","Raça 01","",""
"FSC05545","Touro05545","M","","2018-02-13","Raça 01","",""
"FSC05565","Touro05565","M","","2018-07-10","Raça 01","",""
"FSC05741","Touro05741","M","","2019-10-04","Raça 01","",""
"FSC05745","Touro05745","M","","2019-09-03","Raça 01","",""
"FSC05748","Touro05748","M","","2019-05-28","Raça 01","",""
"FSC05751","Touro05751","M","","2019-04-24","Raça 01","",""
"FSC05753","Touro05753","M","","2019-06-01","Raça 01","",""
"FSC05754","Touro05754","M","","2018-04-16","Raça 01","",""
"FSC05760","Touro05760","M","DE","2018-12-14","Raça 01","",""
"FSC05766","Touro05766","M","","2018-01-05","Raça 01","",""
"FSC05767","Touro05767","M","","2019-03-15","Raça 01","",""
"FSC05795","Touro05795","M","CA","2019-04-15","Raça 01","",""
"FSC05798","Touro05798","M","BR","2019-04-14","Raça 01","",""
"FSC05800","Touro05800","M","","2019-05-02","Raça 01","",""
"FSC05801","Touro05801","M","BR","2019-04-03","Raça 01","",""
"FSC05807","Touro05807","M","","2018-04-21","Raça 01","",""
"FSC05839","Touro05839","M","CA","2018-04-09","Raça 01","",""
"FSC05946","Touro05946","M","CA","2019-04-04","Raça 01","",""
"FSC05957","Touro05957","M","","2019-05-03","Raça 01","",""
"FSC05966","Touro05966","M","CA","2018-05-11","Raça 01","",""
"FSC05982","Touro05982","M","","2019-08-15","Raça 01","",""
"FSC05985","Touro05985","M","","2019-01-04","Raça 01","",""
"FSC06102","Touro06102","M","","2019-05-15","Raça 01","",""
"FSC06134","Touro06134","M","","2019-09-02","Raça 01","",""
"FSC06146","Touro06146","M","CA","2018-04-10","Raça 01","",""
"FSC06231","Touro06231","M","","2019-03-02","Raça 01","",""
"FSC06262","Touro06262","M","","2019-01-08","Raça 01","",""
"FSC06263","Touro06263","M","","2019-09-21","Raça 01","",""
"FSC06339","Touro06339","M","CA","2019-11-03","Raça 01","",""
"FSC06399","Touro06399","M","","2019-02-05","Raça 01","",""
"FSC06411","Touro06411","M","","2019-10-04","Raça 01","",""
"FSC06554","Vaca06554","F","BR","2018-03-02","Raça 01","",""
"FSC06735","Touro06735","M","BR","2019-08-07","Raça 01","",""
"FSC06808","Touro06808","M","CA","2019-07-24","Raça 01","",""
"FSC07132","Touro07132","M","","2019-03-20","Raça 01","",""
"FSC07175","Touro07175","M","","2019-03-22","Raça 01","",""
"FSC07187","Touro07187","M","","2019-08-02","Raça 01","",""
"FSC07190","Touro07190","M","","2019-03-07","Raça 01","",""
"FSC07309","Touro07309","M","CA","2019-06-23","Raça 01","",""
"FSC07330","Touro07330","M","CA","2019-03-17","Raça 01","",""
"FSC07385","Touro07385","M","","2018-11-03","Raça 01","",""
"FSC07386","Touro07386","M","CA","2020-01-01","Raça 01","",""
"FSC07503","Vaca07503","F","BR","2018-05-18","Raça 01","",""
"FSC08859","Vaca08859","F","BR","2018-07-15","Raça 01","",""
"FSC09007","Vaca09007","F","BR","2018-05-01","Raça 01","",""
"FSC09046","Vaca09046","F","BR","2018-09-17","Raça 01","",""
"FSC09416","Vaca09416","F","BR","2018-04-16","Raça 01","",""
"FSC10048","Vaca10048","F","BR","2018-09-04","Raça 01","",""
"FSC10301","Vaca10301","F","BR","2018-09-07","Raça 01","",""
"FSC10372","Vaca10372","F","BR","2018-04-15","Raça 01","",""
"FSC10540","Vaca10540","F","BR","2018-01-03","Raça 01","",""
"FSC10574","Vaca10574","F","BR","2018-02-16","Raça 01","",""
"FSC10905","Vaca10905","F","BR","2018-12-07","Raça 01","",""
"FSC10978","Vaca10978","F","BR","2018-05-03","Raça 01","",""
"FSC11047","Vaca11047","F","BR","2018-06-03","Raça 01","",""
"FSC11219","Vaca11219","F","BR","2018-03-19","Raça 01","",""
"FSC11436","Vaca11436","F","BR","2018-06-13","Raça 01","",""
"FSC11471","Vaca11471","F","BR","2018-07-17","Raça 01","",""
"FSC11677","Vaca11677","F","BR","2018-07-25","Raça 01","",""
"FSC11985","Vaca11985","F","BR","2018-05-04","Raça 01","",""
"FSC12092","Vaca12092","F","BR","2018-03-15","Raça 01","",""
"FSC12688","Vaca12688","F","BR","2018-03-16","Raça 01","",""
"FSC12722","Vaca12722","F","BR","2018-06-05","Raça 01","",""
"FSC12966","Vaca12966","F","BR","2018-07-21","Raça 01","",""
"FSC13108","Vaca13108","F","BR","2019-05-28","Raça 01","",""
"FSC13172","Vaca13172","F","BR","2018-01-01","Raça 01","",""
"FSC13173","Vaca13173","F","BR","2018-01-01","Raça 01","",""
"FSC13174","Vaca13174","F","BR","2018-03-01","Raça 01","",""
"FSC13175","Vaca13175","F","BR","2018-03-01","Raça 01","",""
"FSC13177","Vaca13177","F","BR","2018-01-01","Raça 01","",""
"FSC13179","Vaca13179","F","BR","2018-03-01","Raça 01","",""
"FSC13183","Vaca13183","F","BR","2018-06-01","Raça 01","",""
"FSC13184","Vaca13184","F","BR","2018-04-01","Raça 01","",""
"FSC13186","Vaca13186","F","BR","2018-02-01","Raça 01","",""
"FSC13187","Vaca13187","F","BR","2018-03-01","Raça 01","",""
"FSC13192","Vaca13192","F","BR","2018-03-01","Raça 01","",""
"FSC13195","Vaca13195","F","BR","2018-02-01","Raça 01","",""
"FSC13197","Vaca13197","F","BR","2018-10-01","Raça 01","",""
"FSC13198","Vaca13198","F","BR","2018-12-01","Raça 01","",""
"FSC13199","Vaca13199","F","BR","2018-01-01","Raça 01","",""
"FSC13200","Vaca13200","F","BR","2018-01-01","Raça 01","",""
"FSC13204","Vaca13204","F","BR","2018-01-15","Raça 01","",""
"FSC13206","Vaca13206","F","BR","2018-02-01","Raça 01","",""
"FSC13207","Vaca13207","F","BR","2018-04-01","Raça 01","",""
"FSC13208","Vaca13208","F","BR","2018-10-01","Raça 01","",""
"FSC13209","Vaca13209","F","BR","2018-01-15","Raça 01","",""
"FSC13213","Vaca13213","F","BR","2018-01-14","Raça 01","",""
"FSC13215","Vaca13215","F","BR","2018-01-20","Raça 01","",""
"FSC13216","Vaca13216","F","BR","2019-01-08","Raça 01","",""
"FSC13217","Vaca13217","F","BR","2018-01-19","Raça 01","",""
"FSC13221","Vaca13221","F","BR","2018-01-01","Raça 01","",""
"FSC13222","Vaca13222","F","BR","2018-01-01","Raça 01","",""
"FSC13223","Vaca13223","F","BR","2018-01-01","Raça 01","",""
"FSC13224","Vaca13224","F","BR","2018-01-01","Raça 01","",""
"FSC13225","Vaca13225","F","BR","2018-03-01","Raça 01","",""
"FSC13226","Vaca13226","F","BR","2018-04-01","Raça 01","",""
"FSC13234","Vaca13234","F","BR","2018-03-01","Raça 01","",""
"FSC13237","Vaca13237","F","BR","2018-11-01","Raça 01","",""
"FSC13238","Vaca13238","F","BR","2018-12-01","Raça 01","",""
"FSC13243","Vaca13243","F","BR","2018-01-22","Raça 01","",""
"FSC13244","Vaca13244","F","BR","2018-05-01","Raça 01","",""
"FSC13245","Vaca13245","F","BR","2018-06-01","Raça 01","",""
"FSC13246","Vaca13246","F","BR","2018-06-01","Raça 01","",""
"FSC13248","Vaca13248","F","BR","2018-10-01","Raça 01","",""
"FSC13249","Vaca13249","F","BR","2018-01-17","Raça 01","",""
"FSC13255","Vaca13255","F","BR","2018-05-01","Raça 01","",""
"FSC13256","Vaca13256","F","BR","2018-01-28","Raça 01","",""
"FSC13258","Vaca13258","F","BR","2018-01-25","Raça 01","",""
"FSC13259","Vaca13259","F","BR","2018-01-01","Raça 01","",""
"FSC13260","Vaca13260","F","BR","2018-04-01","Raça 01","",""
"FSC13261","Vaca13261","F","BR","2018-05-01","Raça 01","",""
"FSC13262","Vaca13262","F","BR","2018-06-01","Raça 01","",""
"FSC13263","Vaca13263","F","BR","2018-08-01","Raça 01","",""
"FSC13264","Vaca13264","F","BR","2018-08-01","Raça 01","",""
"FSC13265","Vaca13265","F","BR","2018-09-01","Raça 01","",""
"FSC13267","Vaca13267","F","BR","2018-01-15","Raça 01","",""
"FSC13268","Vaca13268","F","BR","2018-01-20","Raça 01","",""
"FSC13269","Vaca13269","F","BR","2018-01-21","Raça 01","",""
"FSC13270","Vaca13270","F","BR","2018-01-21","Raça 01","",""
"FSC13271","Vaca13271","F","BR","2018-01-23","Raça 01","",""
"FSC13272","Vaca13272","F","BR","2018-01-31","Raça 01","",""
"FSC13274","Vaca13274","F","BR","2018-01-19","Raça 01","",""
"FSC13275","Vaca13275","F","BR","2018-01-24","Raça 01","",""
"FSC13276","Vaca13276","F","BR","2018-01-25","Raça 01","",""
"FSC13278","Vaca13278","F","BR","2018-01-16","Raça 01","",""
"FSC13280","Vaca13280","F","BR","2018-02-01","Raça 01","",""
"FSC13281","Vaca13281","F","BR","2018-06-01","Raça 01","",""
"FSC13282","Vaca13282","F","BR","2018-10-01","Raça 01","",""
"FSC13287","Vaca13287","F","BR","2018-01-18","Raça 01","",""
"FSC13288","Vaca13288","F","BR","2018-01-18","Raça 01","",""
"FSC13291","Vaca13291","F","BR","2018-01-22","Raça 01","",""
"FSC13295","Vaca13295","F","BR","2018-01-28","Raça 01","",""
"FSC13296","Vaca13296","F","BR","2018-01-01","Raça 01","",""
"FSC13297","Vaca13297","F","BR","2018-08-01","Raça 01","",""
"FSC13298","Vaca13298","F","BR","2018-10-01","Raça 01","",""
"FSC13299","Vaca13299","F","BR","2018-01-16","Raça 01","",""
"FSC13300","Vaca13300","F","BR","2018-01-18","Raça 01","",""
"FSC13301","Vaca13301","F","BR","2018-01-23","Raça 01","",""
"FSC13302","Vaca13302","F","BR","2018-01-30","Raça 01","",""
"FSC13304","Vaca13304","F","BR","2018-07-01","Raça 01","",""
"FSC13305","Vaca13305","F","BR","2018-01-17","Raça 01","",""
"FSC13307","Vaca13307","F","BR","2018-04-01","Raça 01","",""
"FSC13308","Vaca13308","F","BR","2018-09-01","Raça 01","",""
"FSC13309","Vaca13309","F","BR","2018-01-13","Raça 01","",""
"FSC13310","Vaca13310","F","BR","2018-01-21","Raça 01","",""
"FSC13311","Vaca13311","F","BR","2018-02-01","Raça 01","",""
"FSC13312","Vaca13312","F","BR","2018-02-01","Raça 01","",""
"FSC13313","Vaca13313","F","BR","2018-05-01","Raça 01","",""
"FSC13318","Vaca13318","F","BR","2018-01-23","Raça 01","",""
"FSC13319","Vaca13319","F","BR","2018-01-24","Raça 01","",""
"FSC13320","Vaca13320","F","BR","2018-01-29","Raça 01","",""
"FSC13321","Vaca13321","F","BR","2018-01-30","Raça 01","",""
"FSC13322","Vaca13322","F","BR","2018-01-17","Raça 01","",""
"FSC13331","Vaca13331","F","BR","2018-09-01","Raça 01","",""
"FSC13335","Vaca13335","F","BR","2018-01-01","Raça 01","",""
"FSC13343","Vaca13343","F","BR","2018-02-02","Raça 01","",""
"FSC13345","Vaca13345","F","BR","2018-04-02","Raça 01","",""
"FSC13347","Vaca13347","F","BR","2018-01-23","Raça 01","",""
"FSC13349","Vaca13349","F","BR","2018-01-28","Raça 01","",""
"FSC13351","Vaca13351","F","BR","2018-01-13","Raça 01","",""
"FSC13352","Vaca13352","F","BR","2018-10-01","Raça 01","",""
"FSC13353","Vaca13353","F","BR","2018-01-23","Raça 01","",""
"FSC13354","Vaca13354","F","BR","2018-01-20","Raça 01","",""
"FSC13356","Vaca13356","F","BR","2018-01-14","Raça 01","",""
"FSC13357","Vaca13357","F","BR","2018-01-18","Raça 01","",""
"FSC13358","Vaca13358","F","BR","2018-01-27","Raça 01","",""
"FSC13360","Vaca13360","F","BR","2018-01-02","Raça 01","",""
"FSC13363","Vaca13363","F","BR","2018-07-02","Raça 01","",""
"FSC13364","Vaca13364","F","BR","2018-09-02","Raça 01","",""
"FSC13365","Vaca13365","F","BR","2018-11-01","Raça 01","",""
"FSC13367","Vaca13367","F","BR","2018-01-17","Raça 01","",""
"FSC13369","Vaca13369","F","BR","2018-07-01","Raça 01","",""
"FSC13372","Vaca13372","F","BR","2018-03-01","Raça 01","",""
"FSC13373","Vaca13373","F","BR","2018-08-01","Raça 01","",""
"FSC13374","Vaca13374","F","BR","2018-01-13","Raça 01","",""
"FSC13376","Vaca13376","F","BR","2018-09-02","Raça 01","",""
"FSC13383","Vaca13383","F","BR","2018-01-26","Raça 01","",""
"FSC13385","Vaca13385","F","BR","2018-01-28","Raça 01","",""
"FSC13386","Vaca13386","F","BR","2018-01-29","Raça 01","",""
"FSC13387","Vaca13387","F","BR","2018-01-31","Raça 01","",""
"FSC13389","Vaca13389","F","BR","2018-09-01","Raça 01","",""
"FSC13390","Vaca13390","F","BR","2018-01-24","Raça 01","",""
"FSC13392","Vaca13392","F","BR","2018-01-27","Raça 01","",""
"FSC13394","Vaca13394","F","BR","2018-04-02","Raça 01","",""
"FSC13395","Vaca13395","F","BR","2018-04-02","Raça 01","",""
"FSC13396","Vaca13396","F","BR","2018-05-02","Raça 01","",""
"FSC13397","Vaca13397","F","BR","2018-08-02","Raça 01","",""
"FSC13398","Vaca13398","F","BR","2018-09-02","Raça 01","",""
"FSC13399","Vaca13399","F","BR","2018-11-02","Raça 01","",""
"FSC13400","Vaca13400","F","BR","2018-12-02","Raça 01","",""
"FSC13402","Vaca13402","F","BR","2018-02-01","Raça 01","",""
"FSC13404","Vaca13404","F","BR","2018-01-01","Raça 01","",""
"FSC13405","Vaca13405","F","BR","2018-01-23","Raça 01","",""
"FSC13406","Vaca13406","F","BR","2018-01-24","Raça 01","",""
"FSC13407","Vaca13407","F","BR","2018-01-25","Raça 01","",""
"FSC13408","Vaca13408","F","BR","2018-01-29","Raça 01","",""
"FSC13409","Vaca13409","F","BR","2018-01-02","Raça 01","",""
"FSC13410","Vaca13410","F","BR","2018-02-02","Raça 01","",""
"FSC13411","Vaca13411","F","BR","2018-12-02","Raça 01","",""
"FSC13412","Vaca13412","F","BR","2018-12-02","Raça 01","",""
"FSC13414","Vaca13414","F","BR","2018-01-24","Raça 01","",""
"FSC13416","Vaca13416","F","BR","2018-06-01","Raça 01","",""
"FSC13417","Vaca13417","F","BR","2018-10-01","Raça 01","",""
"FSC13419","Vaca13419","F","BR","2018-11-01","Raça 01","",""
"FSC13420","Vaca13420","F","BR","2018-11-01","Raça 01","",""
"FSC13421","Vaca13421","F","BR","2018-01-13","Raça 01","",""
"FSC13424","Vaca13424","F","BR","2018-01-15","Raça 01","",""
"FSC13425","Vaca13425","F","BR","2018-01-16","Raça 01","",""
"FSC13430","Vaca13430","F","BR","2018-01-21","Raça 01","",""
"FSC13433","Vaca13433","F","BR","2018-01-23","Raça 01","",""
"FSC13434","Vaca13434","F","BR","2018-01-23","Raça 01","",""
"FSC13435","Vaca13435","F","BR","2018-01-23","Raça 01","",""
"FSC13437","Vaca13437","F","BR","2018-01-26","Raça 01","",""
"FSC13440","Vaca13440","F","BR","2018-01-31","Raça 01","",""
"FSC13441","Vaca13441","F","BR","2018-01-24","Raça 01","",""
"FSC13465","Vaca13465","F","BR","2018-03-01","Raça 01","",""
"FSC13468","Vaca13468","F","BR","2018-01-24","Raça 01","",""
"FSC13469","Vaca13469","F","BR","2018-01-25","Raça 01","",""
"FSC13470","Vaca13470","F","BR","2018-07-01","Raça 01","",""
"FSC13471","Vaca13471","F","BR","2018-05-01","Raça 01","",""
"FSC13473","Vaca13473","F","BR","2018-10-01","Raça 01","",""
"FSC13474","Vaca13474","F","BR","2018-08-01","Raça 01","",""
"FSC13475","Vaca13475","F","BR","2018-08-01","Raça 01","",""
"FSC13476","Vaca13476","F","BR","2018-10-01","Raça 01","",""
"FSC13478","Vaca13478","F","BR","2018-01-15","Raça 01","",""
"FSC13480","Vaca13480","F","BR","2018-05-02","Raça 01","",""
"FSC13482","Vaca13482","F","BR","2018-01-13","Raça 01","",""
